"GEOID","hate","nohate","Hate Percent","Case Rate","Death Rate","Percent Asian","Percent Foreign Born","Percent NH White","Population Density","Income Inequality","Percent Below Poverty"
"40113",0,420,0,251.370183115945,3.63257849343587,0.344139015167608,1.2533457959808,61.6943535709734,7.89115894930878,4.6374465946,2.92518162892467
"40115",0,457,0,320.877153725666,4.05971294313205,0.735223603874309,2.4614007607966,62.9191573698175,24.9304892171307,4.3703486325,3.89029185180449
"40117",0,159,0,268.869650042678,5.18229484209243,0.286550420680405,0.347518595293257,75.3993415437142,10.6498397185026,4.1903864279,2.99353737349104
"40119",0,4234,0,242.821564605919,2.07539798808477,4.35833577497803,7.26023049125891,75.6934270924895,45.3819437726234,6.5059347181,2.29880847739037
"40121",0,812,0,263.792515072233,4.89136616994654,0.441360482311455,2.17950176316688,66.5294050733705,12.3170182853296,4.7479991463,3.51723353429644
"40123",0,983,0,346.255047544614,4.03803569102514,0.794581216621076,1.88615344535626,63.6081802787547,20.4353011726309,4.8768422087,2.771916113065
"40125",0,1313,0,307.511963702059,3.93043814042007,0.725407179600337,1.66181682779165,70.2776130518128,35.2868095361976,4.3906234707,3.05332983961054
"40127",0,4,0,256.264133876074,4.07055630936228,0.434192672998643,0.651289009497965,69.1813658977838,2.9987949260505,5.2678914352,4.54093170511081
"40129",0,1,0,258.046767537827,4.40165061898212,0,1.54057771664374,82.2283356258597,1.22418977538057,5.6112789527,3.52132049518569
"40131",0,940,0,295.952287837309,4.26932603311172,1.52413853039586,2.61917177247643,70.2450788684657,49.9618233218747,4.0972901704,1.98583409377308
"40133",0,192,0,268.518518518519,5.5230669265757,0.605100714749838,2.53005198180637,62.6583820662768,14.8444069766372,4.7456686188,5.30376868096166
"40135",0,389,0,275.577518171132,2.5667474272555,0.774821886919183,1.70077002422818,61.2133278959868,22.5392716709765,4.8563193454,3.61983352124163
"40137",0,334,0,274.993663740467,4.81555724522477,0.672795557706044,2.89163844151056,78.5442731734292,18.7966195047849,4.4719564901,2.86168521462639
"40139",0,161,0,303.445936121747,2.71409877380895,3.53317501090486,27.4754034798624,42.1121504386177,3.88921618898182,3.6649060057,3.69311297436146
"40141",0,122,0,219.817612631006,4.89995916700694,0.258608956036477,7.40438274125493,56.3495304205798,3.22575694323281,4.3734959893,4.19218728732816
"40147",0,1310,0,260.986633330128,5.07741128954707,2.17905567843062,4.31002981055871,71.5684200403885,47.3311726601233,4.7506294964,2.58678719107607
"40149",0,21,0,251.310319898789,5.06054581601301,0.20784384601482,2.29531899512019,80.8693294776794,4.23557407481928,4.2929529886,2.48508946322068
"40151",0,155,0,273.053623513574,4.26295714606237,0.415077406327126,0.841373120933363,79.874354947274,2.6688919072555,4.635701275,1.25645052726049
"40153",0,120,0,266.460298742138,3.88168238993711,0.196540880503145,4.45165094339623,77.2995283018868,6.30665095719787,3.9600210218,2.62382075471698
"41001",0,101,0,217.650714729646,3.23182100683654,0.310752019888129,1.99502796768179,87.8868862647607,2.01578471744114,4.4341395855,2.94592914853947
"41013",0,496,0,296.085619180045,3.62364639952808,0.294947962752286,1.96772426579025,87.8944929001812,3.07415884371055,3.7470685312,2.30480765179286
"41015",0,450,0,178.470007427148,2.70872471492857,0.524269299663594,4.29900825724147,85.1413342653676,5.41037022903776,4.8673926636,2.22814452357027
"41017",0,5308,0,288.642965543497,1.63755743185101,1.06336930049179,4.32596780165738,86.4515590694084,24.294619995015,4.0267430419,1.71630621280945
"41021",0,0,0,155.063291139241,3.16455696202532,0.949367088607595,2.68987341772152,85.7067510548523,0.600157265307303,3.7330537197,0.843881856540084
"41023",0,4,0,277.111792584332,3.06662949540006,0.683022023975467,2.85754112071369,90.1589071647616,0.613094730065965,4.4763180004,2.6763311959855
"41025",0,54,0,237.482900136799,5.60875512995896,0,1.17647058823529,85.6361149110807,0.276445545034782,3.8996686963,0.889192886456908
"41027",0,573,0,182.165878813924,1.97679415556511,1.30640309411259,17.0434035238505,63.0468414267297,16.8807036930043,4.021118819,0.378169316716803
"41031",0,174,0,333.000665335995,4.11676646706587,0.486526946107784,6.28326679973387,54.6781437125748,5.19194127155122,3.8284803401,3.05222887558217
"41035",0,1783,0,237.449338816081,3.4908144247552,1.10641067360885,5.49211608437121,75.9755051326805,4.26039506648176,4.6172957477,3.45087714108215
"41037",0,25,0,193.38905775076,3.67274569402229,1.21580547112462,5.23049645390071,79.0906788247214,0.36531099457326,4.6673293572,3.58409321175279
"41045",0,366,0,285.583703316793,3.55837033167929,1.76939148602768,9.36275790023505,54.2831026377644,1.19314764168346,4.7015664124,3.73792112823191
